date,city,precipitation,day_of_year,average,precipitation_or_average,year,month,month_no,month_and_year,season
2018-02-07,Seattle,,38,0.01,0.01,2018,February,2,February 2018,Winter
2018-02-08,Seattle,,39,0.0625,0.0625,2018,February,2,February 2018,Winter
2018-02-09,Seattle,,40,0.2425,0.2425,2018,February,2,February 2018,Winter
2018-02-10,Seattle,0.0,41,0.006,0.0,2018,February,2,February 2018,Winter
2018-02-11,Seattle,0.0,42,0.034,0.0,2018,February,2,February 2018,Winter
2018-02-12,Seattle,0.1,43,0.11600000000000002,0.1,2018,February,2,February 2018,Winter
2018-02-13,Seattle,0.0,44,0.23399999999999999,0.0,2018,February,2,February 2018,Winter
2018-02-14,Seattle,0.15,45,0.152,0.15,2018,February,2,February 2018,Winter
2018-02-15,Seattle,0.17,46,0.198,0.17,2018,February,2,February 2018,Winter
2018-02-16,Seattle,0.02,47,0.282,0.02,2018,February,2,February 2018,Winter
2018-02-17,Seattle,0.04,48,0.1,0.04,2018,February,2,February 2018,Winter
2018-02-18,Seattle,0.19,49,0.038,0.19,2018,February,2,February 2018,Winter
2018-02-19,Seattle,0.27,50,0.16999999999999998,0.27,2018,February,2,February 2018,Winter
2018-02-20,Seattle,0.0,51,0.126,0.0,2018,February,2,February 2018,Winter
2018-02-21,Seattle,0.33,52,0.164,0.33,2018,February,2,February 2018,Winter
2018-02-22,Seattle,0.25,53,0.134,0.25,2018,February,2,February 2018,Winter
2018-02-23,Seattle,0.05,54,0.086,0.05,2018,February,2,February 2018,Winter
2018-02-24,Seattle,0.15,55,0.32599999999999996,0.15,2018,February,2,February 2018,Winter
2018-02-25,Seattle,0.31,56,0.532,0.31,2018,February,2,February 2018,Winter
2018-02-26,Seattle,0.78,57,0.33199999999999996,0.78,2018,February,2,February 2018,Winter
2018-02-27,Seattle,0.0,58,0.132,0.0,2018,February,2,February 2018,Winter
2018-02-28,Seattle,0.04,59,0.046,0.04,2018,February,2,February 2018,Winter
2018-03-01,Seattle,0.56,60,0.164,0.56,2018,March,3,March 2018,Winter
2018-03-02,Seattle,0.09,61,0.22999999999999998,0.09,2018,March,3,March 2018,Winter
2018-03-03,Seattle,0.02,62,0.17200000000000001,0.02,2018,March,3,March 2018,Winter
2018-03-04,Seattle,0.06,63,0.02,0.06,2018,March,3,March 2018,Winter
2018-03-05,Seattle,0.05,64,0.014000000000000002,0.05,2018,March,3,March 2018,Winter
2018-03-06,Seattle,0.0,65,0.202,0.0,2018,March,3,March 2018,Winter
2018-03-07,Seattle,0.0,66,0.096,0.0,2018,March,3,March 2018,Winter
2018-03-08,Seattle,0.01,67,0.10800000000000001,0.01,2018,March,3,March 2018,Winter
2018-03-09,Seattle,0.65,68,0.186,0.65,2018,March,3,March 2018,Winter
2018-03-10,Seattle,0.01,69,0.08,0.01,2018,March,3,March 2018,Winter
2018-03-11,Seattle,0.02,70,0.004,0.02,2018,March,3,March 2018,Winter
2018-03-12,Seattle,0.0,71,0.06,0.0,2018,March,3,March 2018,Winter
2018-03-13,Seattle,0.04,72,0.158,0.04,2018,March,3,March 2018,Winter
2018-03-14,Seattle,0.63,73,0.136,0.63,2018,March,3,March 2018,Winter
2018-03-15,Seattle,0.0,74,0.27599999999999997,0.0,2018,March,3,March 2018,Winter
2018-03-16,Seattle,0.17,75,0.152,0.17,2018,March,3,March 2018,Winter
2018-03-17,Seattle,0.0,76,0.0,0.0,2018,March,3,March 2018,Winter
2018-03-18,Seattle,0.11,77,0.022,0.11,2018,March,3,March 2018,Winter
2018-03-19,Seattle,0.0,78,0.034,0.0,2018,March,3,March 2018,Winter
2018-03-20,Seattle,0.0,79,0.036000000000000004,0.0,2018,March,3,March 2018,Winter
2018-03-21,Seattle,0.02,80,0.032,0.02,2018,March,3,March 2018,Winter
2018-03-22,Seattle,0.77,81,0.23200000000000004,0.77,2018,March,3,March 2018,Spring
2018-03-23,Seattle,0.83,82,0.23199999999999998,0.83,2018,March,3,March 2018,Spring
2018-03-24,Seattle,0.79,83,0.176,0.79,2018,March,3,March 2018,Spring
2018-03-25,Seattle,0.02,84,0.076,0.02,2018,March,3,March 2018,Spring
2018-03-26,Seattle,0.05,85,0.148,0.05,2018,March,3,March 2018,Spring
2018-03-27,Seattle,0.0,86,0.006,0.0,2018,March,3,March 2018,Spring
2018-03-28,Seattle,0.0,87,0.028000000000000004,0.0,2018,March,3,March 2018,Spring
2018-03-29,Seattle,0.0,88,0.078,0.0,2018,March,3,March 2018,Spring
2018-03-30,Seattle,0.0,89,0.046,0.0,2018,March,3,March 2018,Spring
2018-03-31,Seattle,0.0,90,0.064,0.0,2018,March,3,March 2018,Spring
2018-04-01,Seattle,0.0,91,0.24,0.0,2018,April,4,April 2018,Spring
2018-04-02,Seattle,0.21,92,0.23399999999999999,0.21,2018,April,4,April 2018,Spring
2018-04-03,Seattle,0.01,93,0.1,0.01,2018,April,4,April 2018,Spring
2018-04-04,Seattle,0.0,94,0.166,0.0,2018,April,4,April 2018,Spring
2018-04-05,Seattle,0.09,95,0.238,0.09,2018,April,4,April 2018,Spring
2018-04-06,Seattle,0.54,96,0.242,0.54,2018,April,4,April 2018,Spring
2018-04-07,Seattle,0.42,97,0.298,0.42,2018,April,4,April 2018,Spring
2018-04-08,Seattle,1.29,98,0.61,1.29,2018,April,4,April 2018,Spring
2018-04-09,Seattle,0.29,99,0.25,0.29,2018,April,4,April 2018,Spring
2018-04-10,Seattle,0.02,100,0.088,0.02,2018,April,4,April 2018,Spring
2018-04-11,Seattle,0.06,101,0.22799999999999998,0.06,2018,April,4,April 2018,Spring
2018-04-12,Seattle,0.37,102,0.242,0.37,2018,April,4,April 2018,Spring
2018-04-13,Seattle,0.28,103,0.198,0.28,2018,April,4,April 2018,Spring
2018-04-14,Seattle,0.0,104,0.10600000000000001,0.0,2018,April,4,April 2018,Spring
2018-04-15,Seattle,0.01,105,0.016,0.01,2018,April,4,April 2018,Spring
2018-04-16,Seattle,0.54,106,0.166,0.54,2018,April,4,April 2018,Spring
2018-04-17,Seattle,0.28,107,0.12000000000000002,0.28,2018,April,4,April 2018,Spring
2018-04-18,Seattle,0.08,108,0.016,0.08,2018,April,4,April 2018,Spring
2018-04-19,Seattle,0.01,109,0.036000000000000004,0.01,2018,April,4,April 2018,Spring
2018-04-20,Seattle,0.0,110,0.122,0.0,2018,April,4,April 2018,Spring
2018-04-21,Seattle,0.0,111,0.074,0.0,2018,April,4,April 2018,Spring
2018-04-22,Seattle,0.0,112,0.004,0.0,2018,April,4,April 2018,Spring
2018-04-23,Seattle,0.0,113,0.026000000000000002,0.0,2018,April,4,April 2018,Spring
2018-04-24,Seattle,0.0,114,0.092,0.0,2018,April,4,April 2018,Spring
2018-04-25,Seattle,0.0,115,0.06999999999999999,0.0,2018,April,4,April 2018,Spring
2018-04-26,Seattle,0.0,116,0.06999999999999999,0.0,2018,April,4,April 2018,Spring
2018-04-27,Seattle,0.0,117,0.074,0.0,2018,April,4,April 2018,Spring
2018-04-28,Seattle,0.46,118,0.122,0.46,2018,April,4,April 2018,Spring
2018-04-29,Seattle,0.4,119,0.11400000000000002,0.4,2018,April,4,April 2018,Spring
2018-04-30,Seattle,0.36,120,0.176,0.36,2018,April,4,April 2018,Spring
2018-05-01,Seattle,0.01,121,0.238,0.01,2018,May,5,May 2018,Spring
2018-05-02,Seattle,0.0,122,0.074,0.0,2018,May,5,May 2018,Spring
2018-05-03,Seattle,0.0,123,0.06,0.0,2018,May,5,May 2018,Spring
2018-05-04,Seattle,0.0,124,0.092,0.0,2018,May,5,May 2018,Spring
2018-05-05,Seattle,0.0,125,0.041999999999999996,0.0,2018,May,5,May 2018,Spring
2018-05-06,Seattle,0.05,126,0.3075,0.05,2018,May,5,May 2018,Spring
2018-05-07,Seattle,0.0,127,0.13199999999999998,0.0,2018,May,5,May 2018,Spring
2018-05-08,Seattle,0.0,128,0.046,0.0,2018,May,5,May 2018,Spring
2018-05-09,Seattle,0.05,129,0.162,0.05,2018,May,5,May 2018,Spring
2018-05-10,Seattle,0.0,130,0.008,0.0,2018,May,5,May 2018,Spring
2018-05-11,Seattle,0.0,131,0.0,0.0,2018,May,5,May 2018,Spring
2018-05-12,Seattle,0.0,132,0.02,0.0,2018,May,5,May 2018,Spring
2018-05-13,Seattle,0.0,133,0.16199999999999998,0.0,2018,May,5,May 2018,Spring
2018-05-14,Seattle,0.0,134,0.188,0.0,2018,May,5,May 2018,Spring
2018-05-15,Seattle,0.0,135,0.154,0.0,2018,May,5,May 2018,Spring
2018-05-16,Seattle,0.0,136,0.10800000000000001,0.0,2018,May,5,May 2018,Spring
2018-05-17,Seattle,0.0,137,0.046,0.0,2018,May,5,May 2018,Spring
2018-05-18,Seattle,0.0,138,0.074,0.0,2018,May,5,May 2018,Spring
2018-05-19,Seattle,0.0,139,0.22000000000000003,0.0,2018,May,5,May 2018,Spring
2018-05-20,Seattle,0.0,140,0.076,0.0,2018,May,5,May 2018,Spring
2018-05-21,Seattle,0.0,141,0.09,0.0,2018,May,5,May 2018,Spring
2018-05-22,Seattle,0.0,142,0.019999999999999997,0.0,2018,May,5,May 2018,Spring
2018-05-23,Seattle,0.0,143,0.024,0.0,2018,May,5,May 2018,Spring
2018-05-24,Seattle,0.0,144,0.0,0.0,2018,May,5,May 2018,Spring
2018-05-25,Seattle,0.0,145,0.076,0.0,2018,May,5,May 2018,Spring
2018-05-26,Seattle,0.0,146,0.148,0.0,2018,May,5,May 2018,Spring
2018-05-27,Seattle,0.0,147,0.014000000000000002,0.0,2018,May,5,May 2018,Spring
2018-05-28,Seattle,0.0,148,0.028000000000000004,0.0,2018,May,5,May 2018,Spring
2018-05-29,Seattle,0.0,149,0.20400000000000001,0.0,2018,May,5,May 2018,Spring
2018-05-30,Seattle,0.0,150,0.004,0.0,2018,May,5,May 2018,Spring
2018-05-31,Seattle,0.0,151,0.04,0.0,2018,May,5,May 2018,Spring
2018-06-01,Seattle,0.04,152,0.11600000000000002,0.04,2018,June,6,June 2018,Spring
2018-06-02,Seattle,0.0,153,0.0,0.0,2018,June,6,June 2018,Spring
2018-06-03,Seattle,0.0,154,0.0,0.0,2018,June,6,June 2018,Spring
2018-06-04,Seattle,0.0,155,0.036,0.0,2018,June,6,June 2018,Spring
2018-06-05,Seattle,0.0,156,0.098,0.0,2018,June,6,June 2018,Spring
2018-06-06,Seattle,0.0,157,0.038,0.0,2018,June,6,June 2018,Spring
2018-06-07,Seattle,0.0,158,0.006,0.0,2018,June,6,June 2018,Spring
2018-06-08,Seattle,0.0,159,0.07,0.0,2018,June,6,June 2018,Spring
2018-06-09,Seattle,0.77,160,0.382,0.77,2018,June,6,June 2018,Spring
2018-06-10,Seattle,0.7,161,0.316,0.7,2018,June,6,June 2018,Spring
2018-06-11,Seattle,0.18,162,0.20400000000000001,0.18,2018,June,6,June 2018,Spring
2018-06-12,Seattle,0.02,163,0.10800000000000001,0.02,2018,June,6,June 2018,Spring
2018-06-13,Seattle,0.0,164,0.186,0.0,2018,June,6,June 2018,Spring
2018-06-14,Seattle,0.0,165,0.134,0.0,2018,June,6,June 2018,Spring
2018-06-15,Seattle,0.0,166,0.05600000000000001,0.0,2018,June,6,June 2018,Spring
2018-06-16,Seattle,0.0,167,0.074,0.0,2018,June,6,June 2018,Spring
2018-06-17,Seattle,0.0,168,0.158,0.0,2018,June,6,June 2018,Spring
2018-06-18,Seattle,0.04,169,0.126,0.04,2018,June,6,June 2018,Spring
2018-06-19,Seattle,0.0,170,0.054000000000000006,0.0,2018,June,6,June 2018,Spring
2018-06-20,Seattle,0.0,171,0.002,0.0,2018,June,6,June 2018,Spring
2018-06-21,Seattle,0.0,172,0.004,0.0,2018,June,6,June 2018,Summer
2018-06-22,Seattle,0.0,173,0.01,0.0,2018,June,6,June 2018,Summer
2018-06-23,Seattle,0.0,174,0.0,0.0,2018,June,6,June 2018,Summer
2018-06-24,Seattle,0.0,175,0.0,0.0,2018,June,6,June 2018,Summer
2018-06-25,Seattle,0.0,176,0.0,0.0,2018,June,6,June 2018,Summer
2018-06-26,Seattle,0.0,177,0.0,0.0,2018,June,6,June 2018,Summer
2018-06-27,Seattle,0.0,178,0.02,0.0,2018,June,6,June 2018,Summer
2018-06-28,Seattle,0.0,179,0.038,0.0,2018,June,6,June 2018,Summer
2018-06-29,Seattle,0.0,180,0.0,0.0,2018,June,6,June 2018,Summer
2018-06-30,Seattle,0.0,181,0.002,0.0,2018,June,6,June 2018,Summer
2018-07-01,Seattle,0.0,182,0.0,0.0,2018,July,7,July 2018,Summer
2018-07-02,Seattle,0.0,183,0.0,0.0,2018,July,7,July 2018,Summer
2018-07-03,Seattle,0.0,184,0.0,0.0,2018,July,7,July 2018,Summer
2018-07-04,Seattle,0.0,185,0.0,0.0,2018,July,7,July 2018,Summer
2018-07-05,Seattle,0.0,186,0.0,0.0,2018,July,7,July 2018,Summer
2018-07-06,Seattle,0.0,187,0.0175,0.0,2018,July,7,July 2018,Summer
2018-07-07,Seattle,0.0,188,0.0,0.0,2018,July,7,July 2018,Summer
2018-07-08,Seattle,0.0,189,0.0,0.0,2018,July,7,July 2018,Summer
2018-07-09,Seattle,0.0,190,0.0,0.0,2018,July,7,July 2018,Summer
2018-07-10,Seattle,0.0,191,0.004,0.0,2018,July,7,July 2018,Summer
2018-07-11,Seattle,0.0,192,0.0,0.0,2018,July,7,July 2018,Summer
2018-07-12,Seattle,0.0,193,0.0,0.0,2018,July,7,July 2018,Summer
2018-07-13,Seattle,0.0,194,0.0,0.0,2018,July,7,July 2018,Summer
2018-07-14,Seattle,0.0,195,0.0,0.0,2018,July,7,July 2018,Summer
2018-07-15,Seattle,0.0,196,0.0,0.0,2018,July,7,July 2018,Summer
2018-07-16,Seattle,0.0,197,0.002,0.0,2018,July,7,July 2018,Summer
2018-07-17,Seattle,0.0,198,0.004,0.0,2018,July,7,July 2018,Summer
2018-07-18,Seattle,0.0,199,0.012,0.0,2018,July,7,July 2018,Summer
2018-07-19,Seattle,0.0,200,0.002,0.0,2018,July,7,July 2018,Summer
2018-07-20,Seattle,0.0,201,0.0,0.0,2018,July,7,July 2018,Summer
2018-07-21,Seattle,0.0,202,0.0,0.0,2018,July,7,July 2018,Summer
2018-07-22,Seattle,0.0,203,0.0,0.0,2018,July,7,July 2018,Summer
2018-07-23,Seattle,0.0,204,0.0,0.0,2018,July,7,July 2018,Summer
2018-07-24,Seattle,0.0,205,0.0,0.0,2018,July,7,July 2018,Summer
2018-07-25,Seattle,0.0,206,0.0,0.0,2018,July,7,July 2018,Summer
2018-07-26,Seattle,0.0,207,0.0,0.0,2018,July,7,July 2018,Summer
2018-07-27,Seattle,0.0,208,0.0,0.0,2018,July,7,July 2018,Summer
2018-07-28,Seattle,0.0,209,0.0,0.0,2018,July,7,July 2018,Summer
2018-07-29,Seattle,0.0,210,0.0,0.0,2018,July,7,July 2018,Summer
2018-07-30,Seattle,0.0,211,0.0,0.0,2018,July,7,July 2018,Summer
2018-07-31,Seattle,0.0,212,0.0,0.0,2018,July,7,July 2018,Summer
2018-08-01,Seattle,0.0,213,0.0,0.0,2018,August,8,August 2018,Summer
2018-08-02,Seattle,0.0,214,0.0,0.0,2018,August,8,August 2018,Summer
2018-08-03,Seattle,0.0,215,0.0,0.0,2018,August,8,August 2018,Summer
2018-08-04,Seattle,0.0,216,0.0,0.0,2018,August,8,August 2018,Summer
2018-08-05,Seattle,0.0,217,0.0,0.0,2018,August,8,August 2018,Summer
2018-08-06,Seattle,0.0,218,0.004,0.0,2018,August,8,August 2018,Summer
2018-08-07,Seattle,0.0,219,0.004,0.0,2018,August,8,August 2018,Summer
2018-08-08,Seattle,0.0,220,0.026000000000000002,0.0,2018,August,8,August 2018,Summer
2018-08-09,Seattle,0.0,221,0.004,0.0,2018,August,8,August 2018,Summer
2018-08-10,Seattle,0.0,222,0.004,0.0,2018,August,8,August 2018,Summer
2018-08-11,Seattle,0.0,223,0.006,0.0,2018,August,8,August 2018,Summer
2018-08-12,Seattle,0.0,224,0.0,0.0,2018,August,8,August 2018,Summer
2018-08-13,Seattle,0.0,225,0.0,0.0,2018,August,8,August 2018,Summer
2018-08-14,Seattle,0.0,226,0.0,0.0,2018,August,8,August 2018,Summer
2018-08-15,Seattle,0.0,227,0.0,0.0,2018,August,8,August 2018,Summer
2018-08-16,Seattle,0.0,228,0.0,0.0,2018,August,8,August 2018,Summer
2018-08-17,Seattle,0.0,229,0.0,0.0,2018,August,8,August 2018,Summer
2018-08-18,Seattle,0.0,230,0.0,0.0,2018,August,8,August 2018,Summer
2018-08-19,Seattle,0.0,231,0.0,0.0,2018,August,8,August 2018,Summer
2018-08-20,Seattle,0.0,232,0.0,0.0,2018,August,8,August 2018,Summer
2018-08-21,Seattle,0.0,233,0.0,0.0,2018,August,8,August 2018,Summer
2018-08-22,Seattle,0.0,234,0.06,0.0,2018,August,8,August 2018,Summer
2018-08-23,Seattle,0.0,235,0.0,0.0,2018,August,8,August 2018,Summer
2018-08-24,Seattle,0.0,236,0.0,0.0,2018,August,8,August 2018,Summer
2018-08-25,Seattle,0.0,237,0.0,0.0,2018,August,8,August 2018,Summer
2018-08-26,Seattle,0.0,238,0.0,0.0,2018,August,8,August 2018,Summer
2018-08-27,Seattle,0.05,239,0.01,0.05,2018,August,8,August 2018,Summer
2018-08-28,Seattle,0.0,240,0.0,0.0,2018,August,8,August 2018,Summer
2018-08-29,Seattle,0.0,241,0.008,0.0,2018,August,8,August 2018,Summer
2018-08-30,Seattle,0.0,242,0.0075,0.0,2018,August,8,August 2018,Summer
2018-08-31,Seattle,0.05,243,0.01,0.05,2018,August,8,August 2018,Summer
2018-09-01,Seattle,0.0,244,0.0,0.0,2018,September,9,September 2018,Summer
2018-09-02,Seattle,0.0,245,0.0,0.0,2018,September,9,September 2018,Summer
2018-09-03,Seattle,0.0,246,0.0,0.0,2018,September,9,September 2018,Summer
2018-09-04,Seattle,0.0,247,0.0,0.0,2018,September,9,September 2018,Summer
2018-09-05,Seattle,0.0,248,0.0,0.0,2018,September,9,September 2018,Summer
2018-09-06,Seattle,0.0,249,0.016,0.0,2018,September,9,September 2018,Summer
2018-09-07,Seattle,0.0,250,0.0,0.0,2018,September,9,September 2018,Summer
2018-09-08,Seattle,0.0,251,0.04,0.0,2018,September,9,September 2018,Summer
2018-09-09,Seattle,0.0,252,0.11599999999999999,0.0,2018,September,9,September 2018,Summer
2018-09-10,Seattle,0.0,253,0.064,0.0,2018,September,9,September 2018,Summer
2018-09-11,Seattle,0.04,254,0.126,0.04,2018,September,9,September 2018,Summer
2018-09-12,Seattle,0.05,255,0.01,0.05,2018,September,9,September 2018,Summer
2018-09-13,Seattle,0.06,256,0.012,0.06,2018,September,9,September 2018,Summer
2018-09-14,Seattle,0.0,257,0.0,0.0,2018,September,9,September 2018,Summer
2018-09-15,Seattle,0.0,258,0.0,0.0,2018,September,9,September 2018,Summer
2018-09-16,Seattle,0.0,259,0.20800000000000002,0.0,2018,September,9,September 2018,Summer
2018-09-17,Seattle,0.03,260,0.076,0.03,2018,September,9,September 2018,Summer
2018-09-18,Seattle,0.0,261,0.256,0.0,2018,September,9,September 2018,Summer
2018-09-19,Seattle,0.0,262,0.45599999999999996,0.0,2018,September,9,September 2018,Summer
2018-09-20,Seattle,0.0,263,0.202,0.0,2018,September,9,September 2018,Fall
2018-09-21,Seattle,0.0,264,0.02,0.0,2018,September,9,September 2018,Fall
2018-09-22,Seattle,0.02,265,0.026000000000000002,0.02,2018,September,9,September 2018,Fall
2018-09-23,Seattle,0.01,266,0.038,0.01,2018,September,9,September 2018,Fall
2018-09-24,Seattle,0.0,267,0.0,0.0,2018,September,9,September 2018,Fall
2018-09-25,Seattle,0.0,268,0.08399999999999999,0.0,2018,September,9,September 2018,Fall
2018-09-26,Seattle,0.0,269,0.0,0.0,2018,September,9,September 2018,Fall
2018-09-27,Seattle,0.0,270,0.11199999999999999,0.0,2018,September,9,September 2018,Fall
2018-09-28,Seattle,0.0,271,0.272,0.0,2018,September,9,September 2018,Fall
2018-09-29,Seattle,0.0,272,0.11200000000000002,0.0,2018,September,9,September 2018,Fall
2018-09-30,Seattle,0.01,273,0.032,0.01,2018,September,9,September 2018,Fall
2018-10-01,Seattle,0.0,274,0.0,0.0,2018,October,10,October 2018,Fall
2018-10-02,Seattle,0.0,275,0.0,0.0,2018,October,10,October 2018,Fall
2018-10-03,Seattle,0.0,276,0.024,0.0,2018,October,10,October 2018,Fall
2018-10-04,Seattle,0.0,277,0.03,0.0,2018,October,10,October 2018,Fall
2018-10-05,Seattle,0.0,278,0.01,0.0,2018,October,10,October 2018,Fall
2018-10-06,Seattle,0.18,279,0.126,0.18,2018,October,10,October 2018,Fall
2018-10-07,Seattle,0.08,280,0.016,0.08,2018,October,10,October 2018,Fall
2018-10-08,Seattle,0.07,281,0.032,0.07,2018,October,10,October 2018,Fall
2018-10-09,Seattle,0.28,282,0.07,0.28,2018,October,10,October 2018,Fall
2018-10-10,Seattle,0.0,283,0.041999999999999996,0.0,2018,October,10,October 2018,Fall
2018-10-11,Seattle,0.0,284,0.182,0.0,2018,October,10,October 2018,Fall
2018-10-12,Seattle,0.0,285,0.1,0.0,2018,October,10,October 2018,Fall
2018-10-13,Seattle,0.0,286,0.10200000000000001,0.0,2018,October,10,October 2018,Fall
2018-10-14,Seattle,0.0,287,0.018,0.0,2018,October,10,October 2018,Fall
2018-10-15,Seattle,0.0,288,0.041999999999999996,0.0,2018,October,10,October 2018,Fall
2018-10-16,Seattle,0.0,289,0.0,0.0,2018,October,10,October 2018,Fall
2018-10-17,Seattle,0.0,290,0.05,0.0,2018,October,10,October 2018,Fall
2018-10-18,Seattle,0.0,291,0.052000000000000005,0.0,2018,October,10,October 2018,Fall
2018-10-19,Seattle,0.0,292,0.066,0.0,2018,October,10,October 2018,Fall
2018-10-20,Seattle,0.0,293,0.032,0.0,2018,October,10,October 2018,Fall
2018-10-21,Seattle,0.0,294,0.019999999999999997,0.0,2018,October,10,October 2018,Fall
2018-10-22,Seattle,0.0,295,0.314,0.0,2018,October,10,October 2018,Fall
2018-10-23,Seattle,0.0,296,0.11000000000000001,0.0,2018,October,10,October 2018,Fall
2018-10-24,Seattle,0.01,297,0.032,0.01,2018,October,10,October 2018,Fall
2018-10-25,Seattle,0.0,298,0.10400000000000001,0.0,2018,October,10,October 2018,Fall
2018-10-26,Seattle,0.0,299,0.10400000000000001,0.0,2018,October,10,October 2018,Fall
2018-10-27,Seattle,0.13,300,0.096,0.13,2018,October,10,October 2018,Fall
2018-10-28,Seattle,0.34,301,0.1,0.34,2018,October,10,October 2018,Fall
2018-10-29,Seattle,0.75,302,0.2025,0.75,2018,October,10,October 2018,Fall
2018-10-30,Seattle,0.16,303,0.0875,0.16,2018,October,10,October 2018,Fall
2018-10-31,Seattle,0.11,304,0.043333333333333335,0.11,2018,October,10,October 2018,Fall
2018-11-01,Seattle,0.38,305,0.27599999999999997,0.38,2018,November,11,November 2018,Fall
2018-11-02,Seattle,0.02,306,0.184,0.02,2018,November,11,November 2018,Fall
2018-11-03,Seattle,0.02,307,0.041999999999999996,0.02,2018,November,11,November 2018,Fall
2018-11-04,Seattle,0.08,308,0.10400000000000001,0.08,2018,November,11,November 2018,Fall
2018-11-05,Seattle,0.12,309,0.366,0.12,2018,November,11,November 2018,Fall
2018-11-06,Seattle,0.25,310,0.22000000000000003,0.25,2018,November,11,November 2018,Fall
2018-11-07,Seattle,0.03,311,0.434,0.03,2018,November,11,November 2018,Fall
2018-11-08,Seattle,0.0,312,0.062,0.0,2018,November,11,November 2018,Fall
2018-11-09,Seattle,0.0,313,0.0775,0.0,2018,November,11,November 2018,Fall
2018-11-10,Seattle,0.0,314,0.0,0.0,2018,November,11,November 2018,Fall
2018-11-11,Seattle,0.0,315,0.45200000000000007,0.0,2018,November,11,November 2018,Fall
2018-11-12,Seattle,0.0,316,0.09000000000000001,0.0,2018,November,11,November 2018,Fall
2018-11-13,Seattle,0.0,317,0.068,0.0,2018,November,11,November 2018,Fall
2018-11-14,Seattle,0.02,318,0.068,0.02,2018,November,11,November 2018,Fall
2018-11-15,Seattle,0.0,319,0.22,0.0,2018,November,11,November 2018,Fall
2018-11-16,Seattle,0.0,320,0.35,0.0,2018,November,11,November 2018,Fall
2018-11-17,Seattle,0.0,321,0.08,0.0,2018,November,11,November 2018,Fall
2018-11-18,Seattle,0.0,322,0.0,0.0,2018,November,11,November 2018,Fall
2018-11-19,Seattle,0.0,323,0.152,0.0,2018,November,11,November 2018,Fall
